# sorted_key<TAB>word<TAB>length
ごりん	りんご	3
くさら	さくら	3
いぬ	いぬ	2
こね	ねこ	2
いかす	すいか	3
かみん	みかん	3
ななば	ばなな	3
おぎにり	おにぎり	4
ごたま	たまご	3
いさや	やさい	3
くだのも	くだもの	4
きつね	きつね	3
きたぬ	たぬき	3
うぎさ	うさぎ	3
えかる	かえる	3
かめ	かめ	2
かさな	さかな	3
とり	とり	2
うきこひ	ひこうき	4
しでゃん	でんしゃ	4
しじてゃん	じてんしゃ	5
くまる	くるま	3
でわん	でんわ	3
ほん	ほん	2
えつぴん	えんぴつ	4
けごしむ	けしごむ	4
えくつ	つくえ	3
いす	いす	2
どま	まど	2
いけと	とけい	3
だちとも	ともだち	4
うがこっ	がっこう	4
いせせん	せんせい	4
いがくせ	がくせい	4
しぶんん	しんぶん	4
がてみ	てがみ	3
にほん	にほん	3
ううきとょ	とうきょう	5
おおかさ	おおさか	4
うきとょ	きょうと	4
しす	すし	2
てぷらん	てんぷら	4
めらんー	らーめん	4
ちゃわん	ちゃわん	4
しは	はし	2
しそみる	みそしる	4
きっぷ	きっぷ	3
えき	えき	2
うえこん	こうえん	4
うつどぶ	どうぶつ	4
